word,vw_predicted,obtained
screech,1,0.11
bricks,1,0.15
crowd,1,0.18
waves,1,0.18
harmed,1,0.42
limps,0.83,0.32
drink,0.8,0.28
smart,0.8,0.75
blamed,0.8,1.01
parks,0.8,1.79
grams,0.8,1.79
cramp,0.8,2.37
flushed,0.6,0.29
blond,0.6,0.9
pierced,0.6,0.98
stand,0.6,1.51
plots,0.6,1.79
split,0.5,0.8
prank,0.4,1.85
grant,0.4,3.43
plast,0.2,2.27
plint,0.2,2.28
plans,0.2,2.84
prant,0.2,3.39
slant,0.2,3.49
